INFO -2023-04-11 10:20:16,293 - conftest.py - conftest - init_browser - 36 -  ------ 打开浏览器并最大化------
INFO -2023-04-11 10:20:21,640 - conftest.py - conftest - open_homepage_and_login - 50 -  --------- 打开网页首页：http://47.107.116.139/phpwind/ ----------
INFO -2023-04-11 10:20:21,665 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:21,665 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:21,671 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="db19401c-7dc3-47f2-bd28-7e3c4c254dfe")>元素
INFO -2023-04-11 10:20:21,671 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="db19401c-7dc3-47f2-bd28-7e3c4c254dfe")>元素
INFO -2023-04-11 10:20:22,202 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:22,202 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:22,207 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="339e88bb-8501-4849-bc6e-877281a0e236")>元素
INFO -2023-04-11 10:20:22,207 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="339e88bb-8501-4849-bc6e-877281a0e236")>元素
INFO -2023-04-11 10:20:22,361 - base_page.py - base_page - send_keys - 54 -  输入的内容为：hxxtest
INFO -2023-04-11 10:20:22,361 - base_page.py - base_page - send_keys - 54 -  输入的内容为：hxxtest
INFO -2023-04-11 10:20:22,378 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:22,378 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:22,383 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d9cac760-8f53-4903-9c21-f44ed878b4cf")>元素
INFO -2023-04-11 10:20:22,383 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d9cac760-8f53-4903-9c21-f44ed878b4cf")>元素
INFO -2023-04-11 10:20:22,450 - base_page.py - base_page - send_keys - 54 -  输入的内容为：wyt120505
INFO -2023-04-11 10:20:22,450 - base_page.py - base_page - send_keys - 54 -  输入的内容为：wyt120505
INFO -2023-04-11 10:20:22,465 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:22,465 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
