"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 12:48:45 CST 2023","Tue Apr 11 12:48:48 CST 2023","2530","cases","test_homepage","TestCase001","","","test_001[5]",""
"passed","Tue Apr 11 12:48:48 CST 2023","Tue Apr 11 12:48:54 CST 2023","5416","cases","test_new_post","TestNewPost","","","test_new_post001",""
"skipped","Tue Apr 11 12:48:48 CST 2023","Tue Apr 11 12:48:48 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"broken","Tue Apr 11 12:48:38 CST 2023","Tue Apr 11 12:48:40 CST 2023","2528","cases","test_homepage","TestCase001","","","test_001[2]",""
"passed","Tue Apr 11 12:48:55 CST 2023","Tue Apr 11 12:49:01 CST 2023","6468","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"passed","Tue Apr 11 12:48:32 CST 2023","Tue Apr 11 12:48:38 CST 2023","6079","cases","test_homepage","TestCase001","","","test_001[1]",""
"passed","Tue Apr 11 12:48:54 CST 2023","Tue Apr 11 12:48:55 CST 2023","982","cases","test_new_post","TestNewPost","","","test_newpost002",""
"broken","Tue Apr 11 12:48:43 CST 2023","Tue Apr 11 12:48:45 CST 2023","2561","cases","test_homepage","TestCase001","","","test_001[4]",""
"broken","Tue Apr 11 12:48:40 CST 2023","Tue Apr 11 12:48:43 CST 2023","2519","cases","test_homepage","TestCase001","","","test_001[3]",""
"failed","Tue Apr 11 12:48:48 CST 2023","Tue Apr 11 12:48:48 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"failed","Tue Apr 11 12:48:48 CST 2023","Tue Apr 11 12:48:48 CST 2023","0","cases","test_homepage","TestCase001","","","test_002",""
